"","2^-15","2^-14.75","2^-14.5","2^-14.25","2^-14","2^-13.75","2^-13.5","2^-13.25","2^-13","2^-12.75","2^-12.5","2^-12.25","2^-12","2^-11.75","2^-11.5","2^-11.25","2^-11","2^-10.75","2^-10.5","2^-10.25","2^-10","2^-9.75","2^-9.5","2^-9.25","2^-9","2^-8.75","2^-8.5","2^-8.25","2^-8","2^-7.75","2^-7.5","2^-7.25","2^-7","2^-6.75","2^-6.5","2^-6.25","2^-6","2^-5.75","2^-5.5","2^-5.25","2^-5","2^-4.75","2^-4.5","2^-4.25","2^-4","2^-3.75","2^-3.5","2^-3.25","2^-3","2^-2.75","2^-2.5","2^-2.25","2^-2","2^-1.75","2^-1.5","2^-1.25","2^-1","2^-0.75","2^-0.5","2^-0.25","2^0","2^0.25","2^0.5","2^0.75","2^1","2^1.25","2^1.5","2^1.75","2^2","2^2.25","2^2.5","2^2.75","2^3","2^3.25","2^3.5","2^3.75","2^4","2^4.25","2^4.5","2^4.75","2^5","2^5.25","2^5.5","2^5.75","2^6","2^6.25","2^6.5","2^6.75","2^7","2^7.25","2^7.5","2^7.75","2^8","2^8.25","2^8.5","2^8.75","2^9","2^9.25","2^9.5","2^9.75","2^10","2^10.25","2^10.5","2^10.75","2^11","2^11.25","2^11.5","2^11.75","2^12","2^12.25","2^12.5","2^12.75","2^13","2^13.25","2^13.5","2^13.75","2^14","2^14.25","2^14.5","2^14.75","2^15"
"2^16",0.47244623655914,0.483870967741935,0.485215053763441,0.483198924731183,0.501344086021505,0.51008064516129,0.519489247311828,0.535618279569892,0.55241935483871,0.580645161290323,0.612231182795699,0.615591397849462,0.61760752688172,0.628360215053763,0.64247311827957,0.644489247311828,0.649865591397849,0.643145161290323,0.644489247311828,0.647849462365591,0.638440860215054,0.636424731182796,0.635752688172043,0.645161290322581,0.650537634408602,0.643817204301075,0.649193548387097,0.648521505376344,0.639784946236559,0.637096774193548,0.622311827956989,0.620967741935484,0.615591397849462,0.608198924731183,0.594086021505376,0.586693548387097,0.567876344086022,0.564516129032258,0.583333333333333,0.616263440860215,0.618951612903226,0.631048387096774,0.656586021505376,0.662634408602151,0.663306451612903,0.663306451612903,0.655241935483871,0.637768817204301,0.627016129032258,0.608198924731183,0.602150537634409,0.582661290322581,0.59005376344086,0.590725806451613,0.595430107526882,0.613575268817204,0.592069892473118,0.561827956989247,0.548387096774194,0.534274193548387,0.541666666666667,0.564516129032258,0.575268817204301,0.555779569892473,0.545698924731183,0.530241935483871,0.516129032258065,0.514112903225806,0.567876344086022,0.571908602150538,0.475134408602151,0.438844086021505,0.441532258064516,0.456989247311828,0.467069892473118,0.516801075268817,0.606854838709677,0.603494623655914,0.459005376344086,0.401209677419355,0.374327956989247,0.355510752688172,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.473118279569892,0.481182795698925
"2^16.25",0.471774193548387,0.474462365591398,0.487903225806452,0.48252688172043,0.508064516129032,0.512096774193548,0.530913978494624,0.553091397849462,0.566532258064516,0.598118279569892,0.615591397849462,0.611559139784946,0.629704301075269,0.635752688172043,0.644489247311828,0.649865591397849,0.647177419354839,0.641129032258065,0.647849462365591,0.646505376344086,0.638440860215054,0.638440860215054,0.637096774193548,0.649193548387097,0.649865591397849,0.644489247311828,0.649193548387097,0.648521505376344,0.643145161290323,0.631048387096774,0.625,0.616263440860215,0.61491935483871,0.606854838709677,0.594758064516129,0.584677419354839,0.567876344086022,0.561827956989247,0.588709677419355,0.624327956989247,0.634408602150538,0.63508064516129,0.657930107526882,0.666666666666667,0.663306451612903,0.658602150537634,0.650537634408602,0.639112903225806,0.618951612903226,0.606182795698925,0.599462365591398,0.582661290322581,0.586021505376344,0.592741935483871,0.600134408602151,0.616263440860215,0.596774193548387,0.559139784946237,0.549059139784946,0.531586021505376,0.554435483870968,0.561827956989247,0.57258064516129,0.551747311827957,0.53494623655914,0.525537634408602,0.511424731182796,0.516129032258065,0.568548387096774,0.571236559139785,0.46505376344086,0.431451612903226,0.442204301075269,0.456989247311828,0.467069892473118,0.595430107526882,0.606854838709677,0.600806451612903,0.434811827956989,0.391801075268817,0.375672043010753,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.477150537634409,0.48252688172043
"2^16.5",0.471102150537634,0.479166666666667,0.489247311827957,0.485215053763441,0.500672043010753,0.518817204301075,0.546370967741935,0.556451612903226,0.577284946236559,0.605510752688172,0.618279569892473,0.620295698924731,0.635752688172043,0.639784946236559,0.646505376344086,0.648521505376344,0.645833333333333,0.645833333333333,0.647849462365591,0.64247311827957,0.634408602150538,0.639112903225806,0.638440860215054,0.650537634408602,0.650537634408602,0.647177419354839,0.647177419354839,0.653225806451613,0.637096774193548,0.623655913978495,0.620295698924731,0.609543010752688,0.623655913978495,0.602822580645161,0.588037634408602,0.579301075268817,0.567876344086022,0.569220430107527,0.595430107526882,0.631720430107527,0.633064516129032,0.637096774193548,0.654569892473118,0.664650537634409,0.661962365591398,0.662634408602151,0.644489247311828,0.633736559139785,0.612231182795699,0.608870967741935,0.598118279569892,0.578629032258065,0.592741935483871,0.594086021505376,0.616935483870968,0.604166666666667,0.575268817204301,0.545698924731183,0.543010752688172,0.538978494623656,0.55510752688172,0.560483870967742,0.567876344086022,0.549059139784946,0.53494623655914,0.523521505376344,0.513440860215054,0.566532258064516,0.571236559139785,0.578629032258065,0.467069892473118,0.428763440860215,0.436827956989247,0.454301075268817,0.470430107526882,0.598790322580645,0.602822580645161,0.592741935483871,0.426075268817204,0.389112903225806,0.374327956989247,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.483198924731183,0.493279569892473
"2^16.75",0.470430107526882,0.485887096774194,0.485215053763441,0.501344086021505,0.508736559139785,0.533602150537634,0.555779569892473,0.565188172043011,0.596774193548387,0.604166666666667,0.621639784946237,0.628360215053763,0.640456989247312,0.643817204301075,0.648521505376344,0.646505376344086,0.645161290322581,0.651881720430108,0.643145161290323,0.639784946236559,0.637768817204301,0.639784946236559,0.639784946236559,0.649193548387097,0.650537634408602,0.643817204301075,0.643817204301075,0.647177419354839,0.63508064516129,0.621639784946237,0.616935483870968,0.606182795698925,0.616263440860215,0.59744623655914,0.589381720430108,0.570564516129032,0.568548387096774,0.57258064516129,0.602150537634409,0.622311827956989,0.629704301075269,0.653897849462366,0.657258064516129,0.660618279569892,0.658602150537634,0.657258064516129,0.637096774193548,0.629704301075269,0.608198924731183,0.600806451612903,0.596102150537634,0.57997311827957,0.592069892473118,0.589381720430108,0.619623655913978,0.598118279569892,0.56989247311828,0.540994623655914,0.538306451612903,0.537634408602151,0.55510752688172,0.565188172043011,0.565860215053763,0.544354838709677,0.522177419354839,0.513440860215054,0.514784946236559,0.56989247311828,0.577956989247312,0.570564516129032,0.461693548387097,0.422715053763441,0.434139784946237,0.452956989247312,0.46505376344086,0.600806451612903,0.596774193548387,0.481854838709677,0.418010752688172,0.389784946236559,0.374327956989247,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.490591397849462,0.502016129032258
"2^17",0.473118279569892,0.481182795698925,0.497983870967742,0.506720430107527,0.513440860215054,0.545698924731183,0.560483870967742,0.578629032258065,0.603494623655914,0.612231182795699,0.623655913978495,0.633736559139785,0.644489247311828,0.648521505376344,0.645161290322581,0.649193548387097,0.646505376344086,0.648521505376344,0.64247311827957,0.638440860215054,0.638440860215054,0.641801075268817,0.64247311827957,0.651209677419355,0.649865591397849,0.643145161290323,0.641801075268817,0.647849462365591,0.626344086021505,0.626344086021505,0.612231182795699,0.608870967741935,0.622983870967742,0.593413978494624,0.592069892473118,0.573252688172043,0.573924731182796,0.59005376344086,0.596102150537634,0.631048387096774,0.627688172043011,0.656586021505376,0.65994623655914,0.653897849462366,0.659274193548387,0.651881720430108,0.637096774193548,0.624327956989247,0.610215053763441,0.596102150537634,0.589381720430108,0.584677419354839,0.584677419354839,0.590725806451613,0.612231182795699,0.595430107526882,0.565860215053763,0.55241935483871,0.535618279569892,0.547043010752688,0.553763440860215,0.566532258064516,0.561827956989247,0.54502688172043,0.516801075268817,0.504704301075269,0.511424731182796,0.567876344086022,0.576612903225806,0.557795698924731,0.452956989247312,0.424731182795699,0.435483870967742,0.455645161290323,0.459677419354839,0.593413978494624,0.490591397849462,0.454301075268817,0.411962365591398,0.389784946236559,0.374327956989247,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.495967741935484,0.513440860215054
"2^17.25",0.477150537634409,0.48252688172043,0.509408602150538,0.518145161290323,0.523521505376344,0.559139784946237,0.565188172043011,0.587365591397849,0.606182795698925,0.611559139784946,0.629704301075269,0.645161290322581,0.646505376344086,0.647177419354839,0.645161290322581,0.647177419354839,0.651881720430108,0.646505376344086,0.639784946236559,0.637768817204301,0.640456989247312,0.641801075268817,0.644489247311828,0.651209677419355,0.645833333333333,0.645833333333333,0.647177419354839,0.645833333333333,0.623655913978495,0.629032258064516,0.604838709677419,0.608870967741935,0.627016129032258,0.584005376344086,0.577284946236559,0.574596774193548,0.577956989247312,0.596102150537634,0.602822580645161,0.639112903225806,0.635752688172043,0.643817204301075,0.663306451612903,0.657258064516129,0.655913978494624,0.646505376344086,0.633064516129032,0.618279569892473,0.615591397849462,0.598118279569892,0.580645161290323,0.589381720430108,0.582661290322581,0.594758064516129,0.610887096774194,0.589381720430108,0.5625,0.553091397849462,0.53494623655914,0.551747311827957,0.555779569892473,0.560483870967742,0.556451612903226,0.537634408602151,0.514112903225806,0.497311827956989,0.508736559139785,0.569220430107527,0.575940860215054,0.485887096774194,0.44758064516129,0.42741935483871,0.434811827956989,0.450940860215054,0.454301075268817,0.577284946236559,0.469086021505376,0.445564516129032,0.411962365591398,0.389784946236559,0.374327956989247,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.5,0.526881720430108
"2^17.5",0.483198924731183,0.493279569892473,0.522849462365591,0.524865591397849,0.538306451612903,0.565860215053763,0.584677419354839,0.599462365591398,0.608198924731183,0.61760752688172,0.639784946236559,0.645161290322581,0.65255376344086,0.647849462365591,0.641129032258065,0.651881720430108,0.65255376344086,0.646505376344086,0.64247311827957,0.640456989247312,0.638440860215054,0.640456989247312,0.645161290322581,0.649193548387097,0.643817204301075,0.647849462365591,0.647177419354839,0.640456989247312,0.622983870967742,0.627688172043011,0.596774193548387,0.613575268817204,0.623655913978495,0.577284946236559,0.570564516129032,0.583333333333333,0.580645161290323,0.600806451612903,0.61491935483871,0.637096774193548,0.638440860215054,0.649193548387097,0.670698924731183,0.663978494623656,0.656586021505376,0.644489247311828,0.629704301075269,0.605510752688172,0.610887096774194,0.594758064516129,0.581989247311828,0.589381720430108,0.577956989247312,0.598118279569892,0.594758064516129,0.575268817204301,0.560483870967742,0.555779569892473,0.536962365591398,0.553091397849462,0.561155913978495,0.556451612903226,0.551075268817204,0.530241935483871,0.506048387096774,0.495967741935484,0.512768817204301,0.570564516129032,0.57258064516129,0.471102150537634,0.446908602150538,0.431451612903226,0.429435483870968,0.446236559139785,0.452284946236559,0.475806451612903,0.461693548387097,0.439516129032258,0.411962365591398,0.389784946236559,0.374327956989247,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.506048387096774,0.51747311827957
"2^17.75",0.490591397849462,0.502016129032258,0.535618279569892,0.533602150537634,0.547043010752688,0.575268817204301,0.589381720430108,0.604166666666667,0.610887096774194,0.625,0.641129032258065,0.647177419354839,0.645833333333333,0.647849462365591,0.637768817204301,0.653225806451613,0.655241935483871,0.640456989247312,0.644489247311828,0.641129032258065,0.644489247311828,0.645161290322581,0.650537634408602,0.648521505376344,0.638440860215054,0.648521505376344,0.638440860215054,0.636424731182796,0.624327956989247,0.625,0.591397849462366,0.610887096774194,0.615591397849462,0.580645161290323,0.569220430107527,0.586693548387097,0.596102150537634,0.594086021505376,0.628360215053763,0.643145161290323,0.643817204301075,0.651209677419355,0.665322580645161,0.665994623655914,0.653225806451613,0.64247311827957,0.626344086021505,0.605510752688172,0.605510752688172,0.591397849462366,0.583333333333333,0.59005376344086,0.574596774193548,0.598118279569892,0.592069892473118,0.571908602150538,0.559139784946237,0.544354838709677,0.543682795698925,0.5625,0.567204301075269,0.559139784946237,0.546370967741935,0.524193548387097,0.504032258064516,0.493951612903226,0.51008064516129,0.56989247311828,0.566532258064516,0.469758064516129,0.444220430107527,0.432123655913978,0.429435483870968,0.440188172043011,0.448924731182796,0.463037634408602,0.469086021505376,0.434811827956989,0.411962365591398,0.389784946236559,0.374327956989247,0.356182795698925,0.34744623655914,0.337365591397849,0.327284946236559,0.321236559139785,0.319220430107527,0.309139784946237,0.305779569892473,0.300403225806452,0.285618279569892,0.268145161290323,0.252688172043011,0.23252688172043,0.216397849462366,0.206317204301075,0.194220430107527,0.185483870967742,0.178091397849462,0.166666666666667,0.15994623655914,0.144489247311828,0.129032258064516,0.122311827956989,0.115591397849462,0.112231182795699,0.108198924731183,0.102150537634409,0.0981182795698925,0.0934139784946237,0.0893817204301075,0.0873655913978495,0.0860215053763441,0.0846774193548387,0.0826612903225806,0.0813172043010753,0.0793010752688172,0.0779569892473118,0.0759408602150538,0.518817204301075,0.537634408602151
